year,jaras,cause_name,male_smr,female_smr,total_smr
,,,,,
2007,Budapest_01._ker., Összes halálozás ,96.38,103.11,99.79
,,,,,
2007,Budapest_01._ker., Fertõzõ és parazitás betegségek ,0.97,0.64,0.78
,,,,,
2007,Budapest_01._ker., Humán immunodeficiencia vírus (HIV) betegség  ,0,0,0
,,,,,
2007,Budapest_01._ker., Rosszindulatú daganatok ,32.8,35.77,34.07
,,,,,
2007,Budapest_01._ker., A gyomor rosszindulatú daganata ,1.2,1.66,1.44
,,,,,
2007,Budapest_01._ker., A vastagbél rosszindulatú daganata ,3.01,4.22,3.55
,,,,,
2007,Budapest_01._ker., Vastagbél és végbél rosszindulatú daganata ,3.01,5.88,4.42
,,,,,
2007,Budapest_01._ker.," A gége, a légcsõ, a hörgõ és tüdõ  rosszindulatú daganata ",9.83,8.62,9.19
,,,,,
2007,Budapest_01._ker., A bõr rosszindulatú melanomája ,0.69,2.41,1.65
,,,,,
2007,Budapest_01._ker., Az emlõ rosszindulatú daganata ,0,2.57,1.38
,,,,,
2007,Budapest_01._ker., A méhnyak rosszindulatú daganata ,0,1.25,0.66
,,,,,
2007,Budapest_01._ker., A prostata rosszindulatú daganata ,2.65,0,1.2
,,,,,
2007,Budapest_01._ker., A nyirok- és vérképzõszervek és rokon szövetek rosszindulatú daganatai  ,5.42,1.5,3.29
,,,,,
2007,Budapest_01._ker., Mentális és viselkedészavarok ,0.7,0.89,0.8
,,,,,
2007,Budapest_01._ker., Keringési rendszer betegségei ,40.23,44.64,42.53
,,,,,
2007,Budapest_01._ker., Ischaemiás szívbetegség ,18.65,23.32,21.17
,,,,,
2007,Budapest_01._ker., Cerebrovasculáris betegségek ,9.4,7.71,8.45
,,,,,
2007,Budapest_01._ker., A légzõrendszer betegségei ,4.79,5.91,5.38
,,,,,
2007,Budapest_01._ker., Idült alsó légúti betegségek  ,4.68,3.63,4.06
,,,,,
2007,Budapest_01._ker., Az emésztõrendszer betegségei ,7.32,3.36,5.33
,,,,,
2007,Budapest_01._ker., Krónikus májbetegségek és cirrózis ,3.83,1.93,2.92
,,,,,
2007,Budapest_01._ker., A morbiditás és mortalitás küldõ okai ,6.46,2.89,4.59
,,,,,
2007,Budapest_01._ker., Balesetek ,5.35,2.61,3.94
,,,,,
2007,Budapest_01._ker., Közlekedési balesetek ,3.37,0.61,1.94
,,,,,
2007,Budapest_01._ker., Esések ,1.98,0,0.95
,,,,,
2007,Budapest_01._ker., Szándékos önártalom ,1.11,0.28,0.66
,,,,,
2007,Budapest_01._ker., Testi sértés ,0,0,0
,,,,,
2007,Budapest_01._ker., Elkerülhetõ halálozások ,10.58,15.59,13.22
,,,,,
2007,Budapest_01._ker., Dohányzásnak tulajdonítható ,22.34,11.1,16.4
,,,,,
2007,Aszodi_jaras, Összes halálozás ,157.75,128.99,140.77
,,,,,
2007,Aszodi_jaras, Fertõzõ és parazitás betegségek ,0,0,0
,,,,,
2007,Aszodi_jaras, Humán immunodeficiencia vírus (HIV) betegség  ,0,0,0
,,,,,
2007,Aszodi_jaras, Rosszindulatú daganatok ,42.03,23,31.8
,,,,,
2007,Aszodi_jaras, A gyomor rosszindulatú daganata ,1.74,1.28,1.41
,,,,,
2007,Aszodi_jaras, A vastagbél rosszindulatú daganata ,0.99,2.78,1.95
,,,,,
2007,Aszodi_jaras, Vastagbél és végbél rosszindulatú daganata ,3.12,3.24,3.25
,,,,,
2007,Aszodi_jaras," A gége, a légcsõ, a hörgõ és tüdõ  rosszindulatú daganata ",14.3,2.21,7.69
,,,,,
2007,Aszodi_jaras, A bõr rosszindulatú melanomája ,0,0,0
,,,,,
2007,Aszodi_jaras, Az emlõ rosszindulatú daganata ,0,3.15,1.64
,,,,,
2007,Aszodi_jaras, A méhnyak rosszindulatú daganata ,0,0.64,0.35
,,,,,
2007,Aszodi_jaras, A prostata rosszindulatú daganata ,1.25,0,0.54
,,,,,
2007,Aszodi_jaras, A nyirok- és vérképzõszervek és rokon szövetek rosszindulatú daganatai  ,0,1.28,0.68
,,,,,
2007,Aszodi_jaras, Mentális és viselkedészavarok ,0.58,0,0.28
,,,,,
2007,Aszodi_jaras, Keringési rendszer betegségei ,76.37,84.29,79.43
,,,,,
2007,Aszodi_jaras, Ischaemiás szívbetegség ,39.2,39.5,38.32
,,,,,
2007,Aszodi_jaras, Cerebrovasculáris betegségek ,17.92,15.81,16.63
,,,,,
2007,Aszodi_jaras, A légzõrendszer betegségei ,7.13,1.94,4.11
,,,,,
2007,Aszodi_jaras, Idült alsó légúti betegségek  ,5.71,1.38,3.11
,,,,,
2007,Aszodi_jaras, Az emésztõrendszer betegségei ,12.34,5.72,8.81
,,,,,
2007,Aszodi_jaras, Krónikus májbetegségek és cirrózis ,9.03,0.5,4.29
,,,,,
2007,Aszodi_jaras, A morbiditás és mortalitás küldõ okai ,11.84,3.57,7.4
,,,,,
2007,Aszodi_jaras, Balesetek ,9.74,3.08,6.11
,,,,,
2007,Aszodi_jaras, Közlekedési balesetek ,4.1,0.94,2.34
,,,,,
2007,Aszodi_jaras, Esések ,2.31,2.14,2.16
,,,,,
2007,Aszodi_jaras, Szándékos önártalom ,2.1,0.49,1.29
,,,,,
2007,Aszodi_jaras, Testi sértés ,0,0,0
,,,,,
2007,Aszodi_jaras, Elkerülhetõ halálozások ,29.26,12.28,20.25
,,,,,
2007,Aszodi_jaras, Dohányzásnak tulajdonítható ,38.89,7.59,21.74
,,,,,
2007,Hajduszoboszloi_jaras, Összes halálozás ,124.58,104.01,113.53
,,,,,
2007,Hajduszoboszloi_jaras, Fertõzõ és parazitás betegségek ,0.87,0.34,0.57
,,,,,
2007,Hajduszoboszloi_jaras, Humán immunodeficiencia vírus (HIV) betegség  ,0,0,0
,,,,,
2007,Hajduszoboszloi_jaras, Rosszindulatú daganatok ,38.42,26.58,32.55
,,,,,
2007,Hajduszoboszloi_jaras, A gyomor rosszindulatú daganata ,2.03,0.88,1.45
,,,,,
2007,Hajduszoboszloi_jaras, A vastagbél rosszindulatú daganata ,3.04,4,3.56
,,,,,
2007,Hajduszoboszloi_jaras, Vastagbél és végbél rosszindulatú daganata ,5.26,4.78,5.05
,,,,,
2007,Hajduszoboszloi_jaras," A gége, a légcsõ, a hörgõ és tüdõ  rosszindulatú daganata ",14.33,3.51,8.94
,,,,,
2007,Hajduszoboszloi_jaras, A bõr rosszindulatú melanomája ,0.66,0.41,0.53
,,,,,
2007,Hajduszoboszloi_jaras, Az emlõ rosszindulatú daganata ,0,5.25,2.67
,,,,,
2007,Hajduszoboszloi_jaras, A méhnyak rosszindulatú daganata ,0,0.42,0.21
,,,,,
2007,Hajduszoboszloi_jaras, A prostata rosszindulatú daganata ,0.89,0,0.44
,,,,,
2007,Hajduszoboszloi_jaras, A nyirok- és vérképzõszervek és rokon szövetek rosszindulatú daganatai  ,1.61,1.38,1.49
,,,,,
2007,Hajduszoboszloi_jaras, Mentális és viselkedészavarok ,1.8,2.7,2.24
,,,,,
2007,Hajduszoboszloi_jaras, Keringési rendszer betegségei ,54.16,57.27,55.19
,,,,,
2007,Hajduszoboszloi_jaras, Ischaemiás szívbetegség ,26.9,31.09,28.23
,,,,,
2007,Hajduszoboszloi_jaras, Cerebrovasculáris betegségek ,10.31,11.04,10.83
,,,,,
2007,Hajduszoboszloi_jaras, A légzõrendszer betegségei ,5.43,4.32,4.65
,,,,,
