year,jaras,cause_name,male_smr,female_smr,total_smr
2010,Ozdi_jaras, Összes halálozás , 66.86 , 34.73 , 50.70 
2010,Ozdi_jaras, Fertõzõ és parazitás betegségek , 0.51 , 0.96 , 0.72 
2010,Ozdi_jaras, Humán immunodeficiencia vírus (HIV) betegség  , 0.00 , 0.00 , 0.00 
2010,Ozdi_jaras, Rosszindulatú daganatok , 19.63 , 13.30 , 16.42 
2010,Ozdi_jaras, A gyomor rosszindulatú daganata , 0.80 , 0.86 , 0.82 
2010,Ozdi_jaras, A vastagbél rosszindulatú daganata , 1.20 , 0.00 , 0.61 
2010,Ozdi_jaras, Vastagbél és végbél rosszindulatú daganata , 1.98 , 0.00 , 1.00 
2010,Ozdi_jaras," A gége, a légcsõ, a hörgõ és tüdõ  rosszindulatú daganata ", 9.44 , 6.44 , 7.93 
2010,Ozdi_jaras, A bõr rosszindulatú melanomája , 0.38 , 0.00 , 0.18 
2010,Ozdi_jaras, Az emlõ rosszindulatú daganata , 0.00 , 2.56 , 1.26 
2010,Ozdi_jaras, A méhnyak rosszindulatú daganata , 0.00 , 0.53 , 0.26 
2010,Ozdi_jaras, A prostata rosszindulatú daganata , 0.00 , 0.00 , 0.00 
2010,Ozdi_jaras, A nyirok- és vérképzõszervek és rokon szövetek rosszindulatú daganatai  , 0.40 , 0.00 , 0.19 
2010,Ozdi_jaras, Mentális és viselkedészavarok , 0.39 , 0.00 , 0.19 
2010,Ozdi_jaras, Keringési rendszer betegségei , 18.89 , 10.67 , 14.79 
2010,Ozdi_jaras, Ischaemiás szívbetegség , 10.69 , 5.76 , 8.26 
2010,Ozdi_jaras, Cerebrovasculáris betegségek , 2.15 , 0.80 , 1.48 
2010,Ozdi_jaras, A légzõrendszer betegségei , 2.38 , 0.40 , 1.41 
2010,Ozdi_jaras, Idült alsó légúti betegségek  , 2.38 , 0.40 , 1.41 
2010,Ozdi_jaras, Az emésztõrendszer betegségei , 8.67 , 4.42 , 6.53 
2010,Ozdi_jaras, Krónikus májbetegségek és cirrózis , 6.73 , 3.08 , 4.91 
2010,Ozdi_jaras, A morbiditás és mortalitás küldõ okai , 12.65 , 1.37 , 7.01 
2010,Ozdi_jaras, Balesetek , 6.26 , 0.43 , 3.36 
2010,Ozdi_jaras, Közlekedési balesetek , 1.66 , 0.43 , 1.06 
2010,Ozdi_jaras, Esések , 2.55 , 0.00 , 1.27 
2010,Ozdi_jaras, Szándékos önártalom , 5.99 , 0.00 , 3.00 
2010,Ozdi_jaras, Testi sértés , 0.40 , 0.00 , 0.19 
2010,Ozdi_jaras, Elkerülhetõ halálozások , 15.71 , 11.50 , 13.55 
2010,Ozdi_jaras, Dohányzásnak tulajdonítható , 19.12 , 9.80 , 14.50 
2010,Budapest_10._ker., Összes halálozás , 50.73 , 33.01 , 41.56 
2010,Budapest_10._ker., Fertõzõ és parazitás betegségek , 0.25 , 0.00 , 0.12 
2010,Budapest_10._ker., Humán immunodeficiencia vírus (HIV) betegség  , 0.00 , 0.00 , 0.00 
2010,Budapest_10._ker., Rosszindulatú daganatok , 16.99 , 14.10 , 15.48 
2010,Budapest_10._ker., A gyomor rosszindulatú daganata , 0.00 , 0.26 , 0.14 
2010,Budapest_10._ker., A vastagbél rosszindulatú daganata , 0.91 , 0.43 , 0.66 
2010,Budapest_10._ker., Vastagbél és végbél rosszindulatú daganata , 1.44 , 0.93 , 1.17 
2010,Budapest_10._ker.," A gége, a légcsõ, a hörgõ és tüdõ  rosszindulatú daganata ", 8.01 , 5.14 , 6.50 
2010,Budapest_10._ker., A bõr rosszindulatú melanomája , 0.00 , 0.47 , 0.24 
2010,Budapest_10._ker., Az emlõ rosszindulatú daganata , 0.00 , 1.89 , 0.97 
2010,Budapest_10._ker., A méhnyak rosszindulatú daganata , 0.00 , 0.24 , 0.13 
2010,Budapest_10._ker., A prostata rosszindulatú daganata , 0.00 , 0.00 , 0.00 
2010,Budapest_10._ker., A nyirok- és vérképzõszervek és rokon szövetek rosszindulatú daganatai  , 1.88 , 0.50 , 1.18 
2010,Budapest_10._ker., Mentális és viselkedészavarok , 0.00 , 0.24 , 0.13 
2010,Budapest_10._ker., Keringési rendszer betegségei , 15.87 , 6.74 , 11.16 
2010,Budapest_10._ker., Ischaemiás szívbetegség , 11.21 , 2.96 , 6.94 
2010,Budapest_10._ker., Cerebrovasculáris betegségek , 1.21 , 1.85 , 1.56 
2010,Budapest_10._ker., A légzõrendszer betegségei , 2.60 , 1.25 , 1.88 
2010,Budapest_10._ker., Idült alsó légúti betegségek  , 2.33 , 1.25 , 1.75 
2010,Budapest_10._ker., Az emésztõrendszer betegségei , 7.75 , 4.69 , 6.19 
2010,Budapest_10._ker., Krónikus májbetegségek és cirrózis , 6.30 , 2.65 , 4.46 
2010,Budapest_10._ker., A morbiditás és mortalitás küldõ okai , 6.19 , 4.57 , 5.35 
2010,Budapest_10._ker., Balesetek , 4.24 , 2.28 , 3.21 
2010,Budapest_10._ker., Közlekedési balesetek , 1.00 , 0.00 , 0.48 
2010,Budapest_10._ker., Esések , 1.13 , 0.73 , 0.94 
2010,Budapest_10._ker., Szándékos önártalom , 1.55 , 2.04 , 1.83 
2010,Budapest_10._ker., Testi sértés , 0.40 , 0.00 , 0.18 
2010,Budapest_10._ker., Elkerülhetõ halálozások , 10.35 , 8.83 , 9.56 
2010,Budapest_10._ker., Dohányzásnak tulajdonítható , 17.96 , 8.71 , 13.16 
2010,Paksi_jaras, Összes halálozás , 54.23 , 18.47 , 37.07 
2010,Paksi_jaras, Fertõzõ és parazitás betegségek , 0.44 , 0.54 , 0.50 
2010,Paksi_jaras, Humán immunodeficiencia vírus (HIV) betegség  , 0.00 , 0.00 , 0.00 
2010,Paksi_jaras, Rosszindulatú daganatok , 21.44 , 8.99 , 15.53 
2010,Paksi_jaras, A gyomor rosszindulatú daganata , 0.78 , 0.00 , 0.41 
2010,Paksi_jaras, A vastagbél rosszindulatú daganata , 1.46 , 0.43 , 0.98 
2010,Paksi_jaras, Vastagbél és végbél rosszindulatú daganata , 1.46 , 0.82 , 1.17 
2010,Paksi_jaras," A gége, a légcsõ, a hörgõ és tüdõ  rosszindulatú daganata ", 10.29 , 2.60 , 6.60 
2010,Paksi_jaras, A bõr rosszindulatú melanomája , 0.42 , 0.00 , 0.22 
2010,Paksi_jaras, Az emlõ rosszindulatú daganata , 0.00 , 1.47 , 0.72 
2010,Paksi_jaras, A méhnyak rosszindulatú daganata , 0.00 , 0.80 , 0.37 
2010,Paksi_jaras, A prostata rosszindulatú daganata , 0.42 , 0.00 , 0.22 
2010,Paksi_jaras, A nyirok- és vérképzõszervek és rokon szövetek rosszindulatú daganatai  , 0.34 , 0.46 , 0.40 
